airline;flight-code;auth-code;line-code;airport-A;airport-B;departure-est;departure-real;arrival-est;arrival-real;flight-status;delay-code
AAL;213;0;I;KMIA;SBBR;02/01/2017 01:20;02/01/2017 01:20;02/01/2017 09:00;02/01/2017 09:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;24/01/2017 01:20;24/01/2017 01:20;24/01/2017 09:00;24/01/2017 09:00;REALIZADO;
TAM;8113;0;I;MMMX;SBGR;04/05/2017 20:25;;05/05/2017 06:00;;CANCELADO;XN
TAM;8113;0;I;MMMX;SBGR;31/05/2017 20:25;31/05/2017 20:25;01/06/2017 06:00;01/06/2017 06:00;REALIZADO;
TAM;8113;0;I;MMMX;SBGR;16/05/2017 20:25;16/05/2017 20:25;17/05/2017 06:00;17/05/2017 06:00;REALIZADO;
TAM;8113;0;I;MMMX;SBGR;26/05/2017 20:25;26/05/2017 20:36;27/05/2017 06:00;27/05/2017 06:42;REALIZADO;AR
TAM;8113;0;I;MMMX;SBGR;05/05/2017 20:25;05/05/2017 20:25;06/05/2017 06:00;06/05/2017 06:00;REALIZADO;
AZU;2618;0;R;SBSP;SBPA;01/08/2017 08:45;01/08/2017 09:06;01/08/2017 10:28;01/08/2017 10:45;REALIZADO;TD
AZU;2618;0;R;SBSP;SBPA;04/08/2017 08:45;04/08/2017 08:43;04/08/2017 10:28;04/08/2017 10:27;REALIZADO;HD
AZU;2618;0;R;SBSP;SBPA;23/08/2017 08:45;23/08/2017 08:50;23/08/2017 10:28;23/08/2017 10:48;REALIZADO;AT
AZU;2618;0;R;SBSP;SBPA;10/08/2017 08:45;10/08/2017 08:44;10/08/2017 10:28;10/08/2017 10:19;REALIZADO;HD
AZU;2618;0;R;SBSP;SBPA;09/08/2017 08:45;09/08/2017 08:45;09/08/2017 10:28;09/08/2017 10:28;REALIZADO;
AZU;2618;0;R;SBSP;SBPA;21/08/2017 08:45;21/08/2017 09:05;21/08/2017 10:28;21/08/2017 10:54;REALIZADO;RA
TAM;8112;0;I;SBGR;MMMX;23/08/2017 23:25;23/08/2017 23:25;24/08/2017 09:10;24/08/2017 09:10;REALIZADO;
TAM;8112;0;I;SBGR;MMMX;30/08/2017 23:25;30/08/2017 23:25;31/08/2017 09:10;31/08/2017 09:10;REALIZADO;
TAM;8112;0;I;SBGR;MMMX;01/08/2017 23:25;01/08/2017 23:25;02/08/2017 09:10;02/08/2017 09:10;REALIZADO;
TAM;8112;0;I;SBGR;MMMX;27/08/2017 23:25;27/08/2017 23:25;28/08/2017 09:10;28/08/2017 09:10;REALIZADO;
TAM;8112;0;I;SBGR;MMMX;18/08/2017 23:25;18/08/2017 23:25;19/08/2017 09:10;19/08/2017 09:10;REALIZADO;
TAP;36;0;I;SBFZ;LPPT;07/09/2017 23:05;07/09/2017 23:05;08/09/2017 06:15;08/09/2017 06:15;REALIZADO;
TAP;36;0;I;SBFZ;LPPT;12/09/2017 23:05;12/09/2017 23:05;13/09/2017 06:15;13/09/2017 06:15;REALIZADO;