airline;flightcode;authcode;linecode;airportA;airportB;departureest;departurereal;arrivalest;arrivalreal;flightstatus;problemcode
AAL;213;0;I;KMIA;SBBR;2017-01-30 01:20:00;2017-01-30 01:20:00;2017-01-30 09:00:00;2017-01-30 09:00:00;REALIZADO;
AAL;214;0;I;SBBR;KMIA;2017-01-05 23:55:00;2017-01-05 23:55:00;2017-01-06 07:45:00;2017-01-06 07:45:00;REALIZADO;
AAL;215;0;I;KLAX;SBGR;2017-01-21 21:55:00;2017-01-21 21:55:00;2017-01-22 10:00:00;2017-01-22 10:00:00;REALIZADO;
AAL;216;0;I;SBGR;KLAX;2017-01-15 00:05:00;2017-01-15 00:05:00;2017-01-15 12:35:00;2017-01-15 12:35:00;REALIZADO;
AAL;900;0;I;SAEZ;KMIA;2017-01-03 22:00:00;2017-01-03 22:00:00;2017-01-04 07:17:00;2017-01-04 07:17:00;REALIZADO;
AAL;904;0;I;SBGL;KMIA;2017-01-03 22:40:00;2017-01-03 22:40:00;2017-01-04 07:35:00;2017-01-04 07:35:00;REALIZADO;
AAL;953;0;I;KJFK;SAEZ;2017-01-21 00:59:00;2017-01-21 00:59:00;2017-01-21 11:41:00;2017-01-21 11:41:00;REALIZADO;
AAL;984;0;I;SUMU;KMIA;2017-01-11 22:40:00;2017-01-11 22:40:00;2017-01-12 08:07:00;2017-01-12 08:07:00;REALIZADO;
ACA;90;0;I;CYYZ;SBGR;2017-01-19 01:55:00;2017-01-19 01:55:00;2017-01-19 11:55:00;2017-01-19 11:32:00;REALIZADO;MX
ONE;6176;0;N;SBSP;SBBR;2017-04-09 15:40:00;2017-04-09 15:32:00;2017-04-09 17:30:00;2017-04-09 17:03:00;REALIZADO;
AZU;2409;0;R;SBRJ;SBVT;2017-05-30 11:30:00;2017-05-30 11:30:00;2017-05-30 12:35:00;2017-05-30 12:35:00;REALIZADO;
AZU;2410;0;N;SBGR;SBCF;2017-05-20 06:00:00;2017-05-20 05:52:00;2017-05-20 07:20:00;2017-05-20 06:50:00;REALIZADO;HD
AZU;2415;0;N;SBCF;SBGR;2017-05-08 17:50:00;2017-05-08 17:48:00;2017-05-08 19:15:00;2017-05-08 19:04:00;REALIZADO;HD
AZU;2407;0;N;SBKP;SBCT;2017-06-21 19:50:00;;2017-06-21 20:50:00;;CANCELADO;XB
AZU;9212;2;N;SBKP;SBLO;;2017-06-10 09:30:00;;2017-06-10 11:06:00;REALIZADO;
AZU;9213;2;N;SBLO;SBKP;;2017-06-07 12:13:00;;2017-06-07 13:36:00;REALIZADO;
GLO;7612;2;I;SBGL;SACO;;2017-06-05 22:32:00;;2017-06-06 02:37:00;REALIZADO;
GLO;7617;0;I;SAAR;SBGL;2017-06-05 03:10:00;2017-06-05 03:10:00;2017-06-05 05:55:00;2017-06-05 05:55:00;REALIZADO;
TAM;3004;0;E;SBCT;SBSP;2017-06-01 08:23:00;2017-06-01 08:10:00;2017-06-01 09:20:00;2017-06-01 09:05:00;REALIZADO;AT